"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Get courses","LMS service","Sat Sep 13 16:58:54 GMT 2025","passed","Sat Sep 13 16:58:54 GMT 2025","Get entities","Courses","",""
"","289","Create user","LMS service","Sat Sep 13 16:59:02 GMT 2025","passed","Sat Sep 13 16:59:02 GMT 2025","Create entity","Users","",""
"","13","Get file","LMS service","Sat Sep 13 16:58:59 GMT 2025","passed","Sat Sep 13 16:58:59 GMT 2025","Get entity","Files","",""
"","26","Create course","LMS service","Sat Sep 13 16:58:55 GMT 2025","passed","Sat Sep 13 16:58:55 GMT 2025","Create entity","Courses","",""
"","259","Get file with incorrect file id","LMS service","Sat Sep 13 16:59:01 GMT 2025","passed","Sat Sep 13 16:59:01 GMT 2025","Validate entity","Files","",""
"","285","Login with correct email and password","LMS service","Sat Sep 13 16:58:53 GMT 2025","passed","Sat Sep 13 16:58:53 GMT 2025","Login","Authentication","",""
"","286","Update exercise","LMS service","Sat Sep 13 16:58:56 GMT 2025","passed","Sat Sep 13 16:58:56 GMT 2025","Update entity","Exercises","",""
"","286","Get exercise","LMS service","Sat Sep 13 16:58:56 GMT 2025","passed","Sat Sep 13 16:58:57 GMT 2025","Get entity","Exercises","",""
"","287","Get exercises","LMS service","Sat Sep 13 16:58:58 GMT 2025","passed","Sat Sep 13 16:58:58 GMT 2025","Get entities","Exercises","",""
"","258","Create file with empty filename","LMS service","Sat Sep 13 16:59:00 GMT 2025","passed","Sat Sep 13 16:59:00 GMT 2025","Validate entity","Files","",""
"","287","Delete exercise","LMS service","Sat Sep 13 16:58:57 GMT 2025","passed","Sat Sep 13 16:58:58 GMT 2025","Delete entity","Exercises","",""
"","10","Get user me","LMS service","Sat Sep 13 16:59:03 GMT 2025","passed","Sat Sep 13 16:59:03 GMT 2025","Get entity","Users","",""
"","523","Create user","LMS service","Sat Sep 13 16:59:01 GMT 2025","passed","Sat Sep 13 16:59:01 GMT 2025","Create entity","Users","",""
"","556","Create user","LMS service","Sat Sep 13 16:59:02 GMT 2025","passed","Sat Sep 13 16:59:02 GMT 2025","Create entity","Users","",""
"","21","Create exercise","LMS service","Sat Sep 13 16:58:56 GMT 2025","passed","Sat Sep 13 16:58:56 GMT 2025","TestExercises","Exercises","",""
"","263","Create file with empty directory","LMS service","Sat Sep 13 16:59:01 GMT 2025","passed","Sat Sep 13 16:59:01 GMT 2025","Validate entity","Files","",""
"","28","Update course","LMS service","Sat Sep 13 16:58:54 GMT 2025","passed","Sat Sep 13 16:58:54 GMT 2025","Update entity","Courses","",""
"","20","Delete file","LMS service","Sat Sep 13 16:59:00 GMT 2025","passed","Sat Sep 13 16:59:00 GMT 2025","Delete entity","Files","",""
"","268","Create file","LMS service","Sat Sep 13 16:58:58 GMT 2025","passed","Sat Sep 13 16:58:59 GMT 2025","Create entity","Files","",""
